260|7|129|30|+1|[11,19]|[11,19]|
300|7|129|30||||
301|7|129|30|+10|[10,12],[22,24]|[2,4],[8,12]|
361|7|129|30|+2|[7,10]|[13,21]|
362|7|129|30||||
407|7|129|30|+2||[8,14]|
408|7|129|30|+10||[1,2]|
409|7|129|30|+2|[7,21]|[6,21]|
410|7|129|30|+2|[7,16]||
411|7|129|30|+0|[10,19]|[10,17]|
412|7|129|30|-7||[17,24]|[1,3]
413|7|129|30||||
437|7|129|30|-4|[14,21]|[13,20]|
438|7|129|30||||
209|8|126|30|+1|[7,9],[13,22]|[7,14],[18,22]|
211|8|126|30|+2|[8,11],[13,16]|[8,11],[13,16]|
214|8|126|30|+2|[8,13]|[8,14]|
221|8|126|30||||
222|8|126|30||||
224|8|126|30|+3|[9,17]||
225|8|126|30||||
234|8|126|30|-3|[13,15],[17,20]|[13,15],[17,20]|
235|8|126|30|+1|[15,17]|[8,10]|
252|8|126|30|+3|[19,22]||
256|8|126|30|-3||[14,16],[18,21]|
257|8|126|30|-5|[17,22]|[14,23]|
259|8|126|30||[13,19]|[11,17]|
281|8|126|30||||
297|8|128|30|+2|[8,15]|[8,16]|
323|8|126|30|-3|[11,24]|[11,24]|
351|8|126|30||||
373|8|126|30|-4||[7,24]|[1,7]
374|8|126|30|+2|[7,18]|[7,18]|
401|8|126|30||||
443|8|157|30||||
444|8|157|30||||
445|8|157|30||||
446|8|157|30||||
447|8|157|30||||
448|8|157|30||||
449|8|157|30||||
450|8|157|30||||
451|8|157|30||||
452|8|157|30||||
453|8|157|30||||
454|8|157|30||||
17|12|84|30||||
27|12|82|30||||
29|12|82|30||||
52|12|86|30||||
58|12|86|15||||
76|12|83|15||||
83|12|83|15|+2|[8,11],[13,16]|[8,11],[13,16]|
91|12|84|30||||
105|12|86|30|+1|[14,17]||
117|12|86|30||||
134|12|86|30||||
139|12|86|15||||
140|12|86|30||||
163|12|86|30||||
178|12|86|30||||
189|12|86|30||||
192|12|88|30||||
202|12|147|15|+2|[8,11],[14,18]|[8,11],[14,18]|
219|12|84|30||||
